name,edition,quantity,condition,is_foil
academy ruins,tsp,,,
bogardan hellkite,tsp,1,nm-,f
test of endurance,judg,,,
leveler,mirr,,,
stuffy doll,tsp,,,
mirari,tsb,,,
wirewood lodge,onsl,1,sp,
brain freeze,scou,3,,
avatar of woe,prop,,,
mishras factory,ddet,,,
overburden,prop,1,nm-,
nut collector,odys,,,
silklash spider,9,,,
guiltfeeder,judg,,,
chainers edict,torm,4,nm-,
greater gargadon,tsp,3,
dominus of fealty,Eventide,2,
mishra artificer prodigy,tsp,,
mindslaver,mirr,2,nm-
mindslaver,mirr,2,nm-
voltaic key,Urza's Saga,4,
spectral procession,Shadowmoor,2,
planar portal,8,,
dimir cutpurse,ravn,,
benalish commander,pc,,
commander eesha,judg,,
caller of the claw,Legions,,
wonder,judg,,
dark ritual,Urza's Saga,4,sp
jesters cap,9,,
twincast,m10,2,
boomerang,9,4,,
inkwell leviathan,conf,,,
hedron crab,zen,4,,
primal whisperer,legi,1,nm,f
sundering titan,Darksteel,1,hp,
dovescape,diss,3,,
twilight drover,ravn,2,,
pride of the clouds,diss,4,,
tree of tales,mirr,4,nm-,
cloudpost,mirr,,,
loxodon warhammer,mirr,2,sp,
ornithopter,mirr and 9,4,sp,
ancient den,mirr,4,sp,
vault of whispers,mirr,4,nm-,
sun droplet,mirr,2,,
darksteel ingot,Darksteel,4,nm-,
seat of the synod,mirr,4,sp
darksteel citadel,Darksteel,4,
plumeveil,Shadowmoor,4,
harmonic sliver,tsp,4,
soul warden,m10,4,
