 k        mean   -2 stddev   +2 stddev
 1       41562       41562       41562
 2       30352       23124       37581
 3       24260       23103       25417
 4       20473       18182       22764
 5       17416       14304       20528
 6       15774       12981       18567
 7       13911       12237       15585
 8       13018       11462       14573
 9       12183       11003       13363
10       11456        9987       12926
11       11094        9545       12644
12       10570        9033       12108
