twsp-train.arff
m,k,certainty_labeling,num_labels,accuracy
3,3,1,6,0.500000
3,3,1,9,0.520833
3,3,1,12,0.494792
3,3,1,15,0.484375
3,3,1,18,0.484375
3,3,1,21,0.484375
3,3,1,24,0.515625
3,3,1,27,0.515625
3,3,1,30,0.515625
3,3,1,33,0.546875
3,3,1,36,0.562500
3,3,1,39,0.578125
3,3,1,42,0.598958
3,3,1,45,0.609375
3,3,1,48,0.614583
3,3,1,51,0.619792
3,3,1,54,0.635417
3,3,1,57,0.651042
3,3,1,60,0.645833
3,3,1,63,0.635417
3,3,1,66,0.640625
3,3,1,69,0.656250
3,3,1,72,0.661458
3,3,1,75,0.656250
3,3,1,78,0.651042
3,3,1,81,0.671875
3,3,1,84,0.682292
3,3,1,87,0.687500
3,3,1,90,0.697917
3,3,1,93,0.713542
3,3,1,96,0.734375
3,3,1,99,0.744792
3,3,1,102,0.750000
3,3,1,105,0.770833
3,3,1,108,0.796875
3,3,1,111,0.812500
3,3,1,114,0.812500
3,3,1,117,0.828125
3,3,1,120,0.822917
3,3,1,123,0.848958
3,3,1,126,0.864583
3,3,1,129,0.875000
3,3,1,132,0.885417
3,3,1,135,0.901042
3,3,1,138,0.916667
3,3,1,141,0.932292
3,3,1,144,0.937500
3,3,1,147,0.947917
3,3,1,150,0.958333
3,3,1,153,0.953125
3,3,1,156,0.968750
3,3,1,159,0.968750
3,3,1,162,0.968750
3,3,1,165,0.968750
3,3,1,168,0.979167
3,3,1,171,0.989583
3,3,1,174,1.000000
3,3,1,177,1.000000
3,3,1,180,1.000000
3,3,1,183,1.000000
3,3,1,186,1.000000
3,3,1,189,1.000000
3,3,1,192,1.000000
3,3,0,6,0.500000
3,3,0,9,0.500000
3,3,0,12,0.510417
3,3,0,15,0.526042
3,3,0,18,0.520833
3,3,0,21,0.505208
3,3,0,24,0.505208
3,3,0,27,0.479167
3,3,0,30,0.500000
3,3,0,33,0.473958
3,3,0,36,0.463542
3,3,0,39,0.468750
3,3,0,42,0.489583
3,3,0,45,0.484375
3,3,0,48,0.468750
3,3,0,51,0.468750
3,3,0,54,0.505208
3,3,0,57,0.520833
3,3,0,60,0.546875
3,3,0,63,0.541667
3,3,0,66,0.531250
3,3,0,69,0.541667
3,3,0,72,0.557292
3,3,0,75,0.557292
3,3,0,78,0.583333
3,3,0,81,0.604167
3,3,0,84,0.614583
3,3,0,87,0.619792
3,3,0,90,0.635417
3,3,0,93,0.656250
3,3,0,96,0.666667
3,3,0,99,0.687500
3,3,0,102,0.708333
3,3,0,105,0.708333
3,3,0,108,0.713542
3,3,0,111,0.718750
3,3,0,114,0.734375
3,3,0,117,0.739583
3,3,0,120,0.755208
3,3,0,123,0.770833
3,3,0,126,0.781250
3,3,0,129,0.791667
3,3,0,132,0.802083
3,3,0,135,0.812500
3,3,0,138,0.817708
3,3,0,141,0.838542
3,3,0,144,0.843750
3,3,0,147,0.859375
3,3,0,150,0.869792
3,3,0,153,0.880208
3,3,0,156,0.906250
3,3,0,159,0.911458
3,3,0,162,0.916667
3,3,0,165,0.921875
3,3,0,168,0.927083
3,3,0,171,0.937500
3,3,0,174,0.947917
3,3,0,177,0.963542
3,3,0,180,0.973958
3,3,0,183,0.984375
3,3,0,186,0.994792
3,3,0,189,0.994792
3,3,0,192,1.000000
3,5,1,6,0.500000
3,5,1,9,0.505208
3,5,1,12,0.520833
