@relation waveform
@attribute x0 real
@attribute x1 real
@attribute x2 real
@attribute x3 real
@attribute x4 real
@attribute x5 real
@attribute x6 real
@attribute x7 real
@attribute x8 real
@attribute x9 real
@attribute x10 real
@attribute x11 real
@attribute x12 real
@attribute x13 real
@attribute class {-,+}
@data
1.95,1.45,2.51,2.39,3.89,1.52,1.52,3.51,2.38,2.27,4.23,3.63,2.08,2.17,-
1.35,1.52,0.06,2.16,1.78,0.67,1.31,0.21,3.05,4.79,4.03,3.44,1.93,1.22,-
4.76,3.22,5.7,4.63,4.39,2.73,1.45,1.52,0.03,2.06,0.03,-0.41,-0.41,-1.39,-
1.3,1.47,2.54,2.28,1.12,0.83,3.78,3.23,4.37,3.72,2.73,2.63,2.29,2.71,-
3.46,5.11,5.35,3.61,2.89,2.54,2.45,1.7,0.08,1.3,-0.07,-0.36,-0.11,-0.21,-
3.11,4.42,3.93,2.84,2.29,0.47,2.85,-0.52,-0.87,0.45,0.72,-0.86,1.39,1.29,-
2.12,4.23,3.72,2.37,2.17,1.83,2.41,2.67,2.14,1.84,1.57,2.75,1.07,1.98,-
2.9,3.43,3.78,2.91,3,3.18,1.07,1.16,-0.21,1.52,0.47,1.12,2.76,1.29,-
0.99,3.21,2.37,5.09,1.7,0.05,2.6,2.63,2.01,1.02,2.36,2.91,1.45,0.9,-
1.57,-0.13,1.4,1.27,1.37,-0.26,2.68,1.46,4.36,4.28,2.79,2.24,4.61,1.86,-
2.3,1.49,4.04,2.02,1.69,2.59,1.4,2.64,2.5,4.03,4.67,2.47,0.64,1.29,-
2.22,5.26,3.77,0.92,2.89,2.01,2.84,2.06,1.35,2.89,2.93,0.58,2.2,1.79,-
1.63,2.79,3.06,3.29,2.38,4.03,2.7,-0.03,0.19,4.04,2.87,2.15,2.62,1.91,-
3.33,3.99,4,3.29,1.03,1.59,2.62,0.84,2.61,3.15,3.86,4.07,3.64,1.87,-
0.45,-0.15,2.53,0.86,1.98,1.78,2.47,1.72,1.95,4.82,5.83,3.65,2.55,2.19,-
3.95,5.26,4.72,5.02,4.6,3.22,1,1.74,2.86,-0.14,1.68,1.79,-0.93,1.3,-
3.58,4.57,4.11,2.58,4.1,1.33,2.18,3.26,2.85,0.2,0.7,-0.29,2.06,2.43,-
3.04,3.81,4.62,3.81,1.85,3.5,2.33,0.92,0.38,1.33,-1.27,1.35,0.2,-0.39,-
2.88,2.43,0.75,3.94,2.71,2.92,2.39,1.73,1.5,2.94,2.59,0.92,1.91,1.8,-
0.86,2.22,4.06,1.25,-0.41,0.81,2.65,3.47,2.79,0.77,3.85,3.5,3.96,2.18,-
3.72,3.26,5.31,4.98,2.06,4.77,2.22,0.39,1.01,2.08,0.38,1.51,-0.98,-0.9,-
3.67,3.34,4.84,1.8,2.92,2.14,1.64,1.03,1.67,0.53,-1.59,0.53,-0.05,0.89,-
1.22,4.38,3.38,4.13,2.62,2.75,2.5,3.29,-0.46,2.82,1.72,1.46,1.07,1.26,-
0.81,1.13,2.03,1.06,-0.17,3.39,0.85,1.4,3.66,3.89,3.35,3.56,1.72,2.95,-
3.29,4.18,6.02,3.55,1.95,3.89,0.38,0.86,1.75,-0.77,0,-0.52,1.46,0.85,-
1.31,3.52,2.4,1.1,1.74,3.53,2.8,1.49,1.05,3.67,5.83,2.65,3.78,2.52,-
2.19,4.05,6.29,3.84,3.89,2.71,3.19,1.48,0.61,1.15,0.45,1.09,-1.39,2.21,-
1.1,1.1,1.64,1.08,0.28,0.92,0.77,1.04,2.63,5.6,4.29,3.68,3.68,3.51,-
2.63,2.05,1.95,4.44,2.19,1.2,1.98,1.98,2.25,1.85,1.29,2.37,0.45,1.35,-
3.43,4.57,2.4,3.89,2.31,1.97,1.48,0.72,1.12,1.94,-0.12,2.02,0.81,0.6,-
0.17,-0.26,-2.7,1.68,0.96,1.2,2.22,1.57,5.21,6.28,3.44,3.83,3.69,3.95,-
3.3,3.9,2.39,3.88,2.36,2.43,2.47,1.29,0.83,2.42,3.67,2.22,-0.7,1.22,-
3.57,5.06,3.61,6.02,3.16,2.71,0.86,1.61,0.88,0.85,1.5,-0.73,0.73,-0.99,-
3.94,3.03,5.63,3.66,2.55,2.14,2.96,1.79,0.44,0.5,0.94,0.34,3.73,2.06,-
2.09,4,5.16,4.91,2.79,3.28,2.45,1.54,0.69,0.52,-0.64,-0.27,2.78,-2.49,-
1.99,3.27,3,2.57,3.01,3.59,2.61,2.25,2.19,3.39,2.79,2.81,1.36,0.32,-
1.51,2.52,4.22,2.94,2.75,1.65,1.4,1.73,0.62,0.56,2.19,2.58,-0.23,1.11,-
1.09,2.06,4.65,2.72,2.34,2.93,2.37,1.96,0.33,2.86,2.15,3.43,3.14,1.48,-
-0.47,1.24,1.09,0.96,0.97,1.24,2.79,3.09,5.3,3.27,4.74,3.43,5.09,1.91,-
-0.92,0,1.34,-0.44,0.35,0.55,1.8,3.18,3.12,3.68,5.58,2.38,2.56,1.85,-
3.04,3.94,4.32,3.88,2.58,4.13,1.81,1.41,2.4,1.05,2.03,1.02,1.73,1.72,-
1.86,3.97,3.6,4.89,3.27,1.27,2.34,1.44,2.08,0.85,3.05,1.95,0.76,2.42,-
1.55,1.23,1.91,0.31,0.64,1.67,2.24,3.58,3.57,4.08,3.94,5.02,2.54,4.48,-
1.03,-0.32,-1.23,-0.5,0.11,0.87,1.27,4.41,3.51,4.88,4.66,5.71,2.72,0.95,-
-0.11,2.27,-0.03,0.3,-0.97,1.84,3.57,2.88,2.7,2.62,2.72,2.91,3.43,2.4,-
3.17,4.18,5.23,3.06,2.67,1.73,0.84,3.31,2.7,0.4,1.9,2.4,1.82,0.83,-
2.64,3.44,5,3.75,2.78,2.9,3.16,-0.72,1.92,4.4,3.76,0.3,1.98,1.31,-
2.48,4,2.58,3.5,3.45,3.84,2.95,1.28,0.15,0.44,1.4,2.57,1.59,0.61,-
4.63,4.4,4.83,4.41,2.09,2.91,2.86,0.68,2.98,1.68,2.32,1.46,4.04,3.06,-
1.48,3.92,4.24,1.13,1.25,-0.14,2.99,3.48,2.1,4.54,3.61,3.96,2.81,2.1,-
0.6,1.51,1.52,-0.49,1.27,2.52,0.25,1.4,4.25,4.16,5.69,3.34,2.9,2.37,+
-0.04,-0.17,-0.04,2.18,2.23,2.23,2.82,3.49,5.39,5.93,7.03,4.47,2.07,1.93,+
0.33,4.58,4.87,3.11,3.06,2.65,2.97,1.75,0.72,1.51,1.98,3.2,1.61,0.68,+
1.52,0.06,2.21,3.11,1.22,1.17,1.91,2.35,1.59,5.48,3.24,3.07,2.88,1.61,+
2.53,2.29,1.57,1.46,1.94,1.38,1.88,2.33,2.36,4.29,3.39,2.99,2.54,1.56,+
2.02,2.09,2.19,0.54,1.72,0.78,2.46,1.31,2.58,2.82,3.13,2.2,0.56,1.19,+
3.09,3.5,2.92,3.5,2.44,0.98,2,2.22,1.53,2.48,2.16,2.74,3.38,0.24,+
3.91,3.27,3.79,3.66,4.05,1.71,1.62,1.62,1.06,0.37,2.12,1.28,1.24,0.86,+
0.26,-0.26,-1.44,-0.18,1.4,1.66,1.9,4.06,4.1,4.58,6.02,4.45,4.58,2.23,+
3.69,2.54,3.34,2.62,3.38,1.14,1.11,1.4,1.2,2.74,2.18,1.88,2.17,2.6,+
0.23,0.22,1.85,-0.47,1.32,1.84,0.61,2.89,3.81,5.22,5.83,4.09,4.07,2.31,+
2.55,3.98,4.43,4.16,2.5,1.07,1.16,0.71,-0.01,0.41,2.28,1.63,1.06,-1.33,+
3.38,2.89,4.34,6.07,2.48,2.38,0.63,0.64,0.57,2.37,4.14,-0.09,0.98,-0.13,+
4.28,3.61,4.46,4.62,4.8,0.25,1.06,1.89,1.11,0.92,-0.59,0.2,0.97,1.48,+
1.61,3.11,3.2,2.12,1.92,1.54,4.23,2.49,1.83,1.46,4.38,3.19,1.89,2.93,+
0.34,1.1,-0.63,-1.32,-0.3,-0.22,1.69,2.96,2.45,4.78,4.43,3.75,2.31,1.98,+
0.94,1.18,1.07,0.86,1.31,-0.55,0.86,2.2,3.63,2.04,4.64,4.06,4.03,0.96,+
4.31,4.5,4.93,6.08,3.98,-0.7,1.37,2.21,0.12,-0.05,-1.63,-2.39,-0.31,-0.55,+
2.61,2.21,3,2.76,0.91,0.1,2.9,-0.14,4.38,3.68,3.33,2.17,2.55,1.72,+
0.05,-0.41,0.11,0.94,-0.34,0.17,4.22,2.88,4.56,2.06,5.82,4.96,2.06,2.54,+
5.91,2.22,4,2.65,3.74,2.69,4.07,1.13,2.88,0.4,0.06,0.7,1.58,1.4,+
3.05,2.15,5.33,5.64,1.11,2.22,2.18,2.41,-0.97,2.9,2.27,1.49,1.3,1.11,+
1.2,2.61,3.39,2.98,2.49,0.88,1.93,1.13,0.69,1.83,3.95,1.61,1.52,3.13,+
1.66,2.43,1.95,0.04,0.61,2.65,2.92,2.9,2.73,3.64,2.68,3.65,3.52,3.77,+
0.34,1.77,3.81,2.25,1.87,1.75,2.13,2.96,1.2,1.61,3.25,2.77,3.24,0.96,+
4.66,3.96,5.59,2.98,3.76,1.65,0.73,3.85,0.61,0.13,1.71,0.25,0.6,1.29,+
1.27,3.59,2.91,3.8,1.83,2.86,1.37,1.72,1.74,0.6,1.62,1.02,1.65,2.35,+
2.67,2.5,5.22,4.17,3.71,2.24,2.01,1.71,-0.41,1.63,0.92,0.79,1.03,-0.44,+
3.32,3.24,2.69,3.1,0.55,2.3,2.56,1.22,1.4,3.82,2.51,1.77,1.72,1.56,+
3.06,4.73,6.39,2.13,2.35,3.15,0.53,1,0.78,1.38,0.69,3.06,0.85,2.19,+
2.03,2.02,1.43,2.74,3.13,2.61,0.49,2.87,2.81,5.37,5.88,4.12,1.87,1.47,+
1.94,5.36,5.67,3.48,4.21,3.75,1.78,-0.22,1.9,0.76,0.98,0.85,1.17,1.96,+
3.58,4.56,5.92,2.86,2.14,1.29,2.39,1.68,0.29,1.89,-0.08,0.72,-0.87,1.91,+
0.59,2.47,2.45,1.67,1.54,1.28,2.36,1.7,5.07,2.62,3.51,3.22,2.78,3.02,+
2.35,2.92,5.88,3.26,2.06,3.11,0.85,1.79,0.61,4,2.02,0.7,0.4,0.72,+
3.16,0.9,0.99,2.33,0.36,2.72,2.71,1.77,2.83,2.02,3.49,3.11,0.98,0.87,+
0.99,-1.86,1.48,1.16,-0.86,2.78,1.78,5.39,3.99,5.21,6.62,4.13,3.61,4.13,+
-0.19,-1.17,-0.1,1.09,0.3,1.06,2.66,3.25,3.97,4.97,6.82,5.35,2.48,3.57,+
4.05,4.28,4.28,3.9,1.3,1.36,4.43,2.3,0.11,2.95,2.41,2.18,1.3,2,+
3.04,5,4.97,3.36,4.83,4.2,1.72,-0.09,1.92,1.12,-0.17,0.74,0.23,0.74,+
2.51,2.24,3.89,3.75,5.01,2.43,1.98,3.16,1.36,0.15,3.87,2.49,3.6,0.67,+
3.36,2.9,1.75,2.86,2.32,2.73,3.94,0.12,1.96,2.05,4.15,2.21,1.37,0.67,+
4.23,3.33,5.97,4.49,3.22,1.58,0.73,2.33,2.09,-0.71,2.27,1.89,-0.38,0.96,+
0.52,1.25,1.32,2.68,1.53,0.44,1.06,1.63,2.58,5.2,3.41,3.29,1.59,2.52,+
3.36,5.35,5.44,5.31,3.92,4.39,2.58,1.35,0.25,-0.22,0.93,-1.81,-1.95,0.09,+
3.94,4.89,4.23,4.26,3.21,2.96,3.28,0.51,1.7,-0.58,0.89,0.14,0.06,1.14,+
0.79,1.35,-0.02,-0.99,-0.88,1.15,3,1.47,3.43,3.83,6.1,4.04,5.19,2.83,+
4.72,3.93,4.68,5.3,4.93,3.32,2.19,1.67,1.03,0.19,0.64,1.42,0.41,-0.71,+
0.86,-1.85,0.83,0.42,1.53,0.79,1.57,3.43,2.89,5.47,6.91,5.08,4.05,2.12,+
1.81,0.89,0,1.12,0.03,0.71,1.17,2.83,4.05,4.95,6.25,4.28,4.96,2.62,+
4.28,3.95,3.03,0.92,1.54,3.05,3.15,2.13,1.01,3.79,2.58,1.59,2.24,2.33,+
4.31,6.35,4.43,2.43,1.53,2.58,2.95,1.38,1.12,0.13,1.84,0.89,0.56,2.18,+
0.94,2.65,3.42,3.79,0.65,2.72,1.86,1.48,3.37,2.36,4.18,1.99,2.75,1.25,+
2.5,3.45,4.83,1.3,1.82,1.23,2.3,3.76,1.66,2.01,3.63,3.96,-0.63,-0.22,+
1.26,0.67,-0.27,1.16,1.28,0.61,2.61,4.68,3.92,6.06,4.61,4.77,4.42,0.8,+
2.74,1.54,0.96,-0.2,0.46,1.07,1.6,2.83,3.01,4.31,3.89,5.16,4.57,1.51,+
