Date,Open,High,Low,Close,Volume
31-Dec-09,7.01,7.09,6.93,6.96,157379
30-Dec-09,7.00,7.13,6.94,7.03,181390
29-Dec-09,6.90,7.05,6.86,7.02,134004
28-Dec-09,6.95,6.97,6.79,6.90,169270
25-Dec-09,6.93,6.93,6.93,6.93,0
24-Dec-09,7.05,7.09,6.92,6.93,24139
23-Dec-09,6.89,7.05,6.78,7.03,198180
22-Dec-09,6.85,6.88,6.67,6.80,200199
21-Dec-09,6.64,7.01,6.63,6.81,253262
18-Dec-09,6.72,6.98,6.51,6.60,866676
17-Dec-09,6.85,6.99,6.56,6.70,408687
16-Dec-09,7.14,7.18,6.92,6.93,469477
15-Dec-09,6.85,7.23,6.73,7.09,537116
14-Dec-09,6.86,7.04,6.62,6.94,257681
11-Dec-09,6.32,6.89,6.28,6.80,335013
10-Dec-09,6.24,6.53,6.24,6.27,182532
9-Dec-09,6.25,6.33,6.03,6.23,179983
8-Dec-09,6.06,6.28,6.03,6.21,351256
7-Dec-09,6.03,6.12,5.94,6.09,387328
4-Dec-09,6.20,6.30,5.91,6.04,402939
3-Dec-09,6.20,6.25,6.01,6.07,430229
2-Dec-09,6.35,6.36,6.07,6.11,393972
1-Dec-09,6.37,6.47,6.20,6.36,335907
30-Nov-09,6.26,6.32,6.05,6.30,367036
27-Nov-09,6.14,6.49,6.12,6.29,200906
26-Nov-09,6.56,6.56,6.56,6.56,0
25-Nov-09,6.68,6.75,6.50,6.56,191623
24-Nov-09,6.66,6.66,6.49,6.63,251313
23-Nov-09,6.54,6.71,6.49,6.66,316565
20-Nov-09,6.36,6.44,6.33,6.41,278013
19-Nov-09,6.60,6.60,6.30,6.41,344710
18-Nov-09,6.87,6.87,6.71,6.76,376502
17-Nov-09,6.92,6.95,6.75,6.93,205611
16-Nov-09,6.74,7.01,6.74,6.96,345247
13-Nov-09,6.67,6.71,6.52,6.64,246995
12-Nov-09,6.72,6.95,6.63,6.66,331098
11-Nov-09,6.77,6.78,6.48,6.72,617527
10-Nov-09,6.69,6.75,6.44,6.71,511244
9-Nov-09,6.85,7.00,6.72,6.84,260821
6-Nov-09,6.72,7.00,6.62,6.79,433183
5-Nov-09,6.28,6.84,6.06,6.80,702564
4-Nov-09,6.54,6.75,6.19,6.31,545829
3-Nov-09,6.30,6.58,6.14,6.52,374501
2-Nov-09,6.35,6.67,6.05,6.34,308926
30-Oct-09,6.85,6.91,6.27,6.36,402967
29-Oct-09,6.54,7.04,6.54,6.95,357921
28-Oct-09,7.05,7.17,6.53,6.56,492994
27-Oct-09,7.57,7.79,7.05,7.09,710055
26-Oct-09,7.63,7.96,7.48,7.50,690950
23-Oct-09,8.19,8.28,7.61,7.63,706127
22-Oct-09,8.09,8.37,7.96,8.13,370772
21-Oct-09,7.89,8.33,7.89,8.01,532873
20-Oct-09,8.40,8.44,7.97,7.98,212819
19-Oct-09,7.78,8.48,7.78,8.43,342127
16-Oct-09,7.85,8.04,7.71,7.78,379387
15-Oct-09,7.95,8.35,7.87,7.88,397636
14-Oct-09,7.75,8.13,7.73,8.13,385662
13-Oct-09,7.86,7.90,7.62,7.68,325106
12-Oct-09,7.65,8.23,7.65,7.80,416495
9-Oct-09,7.46,7.65,7.35,7.65,237440
8-Oct-09,7.49,7.52,7.37,7.37,192957
7-Oct-09,7.34,7.53,7.21,7.39,157687
6-Oct-09,7.35,7.63,7.22,7.37,272604
5-Oct-09,6.66,7.42,6.54,7.30,432606
2-Oct-09,6.82,6.97,6.49,6.61,443579
1-Oct-09,7.58,7.58,6.92,6.92,319512
30-Sep-09,7.89,7.97,7.30,7.50,447927
29-Sep-09,7.53,7.98,7.52,7.92,448292
28-Sep-09,6.87,7.40,6.85,7.20,370873
25-Sep-09,6.94,7.02,6.80,6.87,186705
24-Sep-09,7.33,7.47,6.83,6.99,489487
23-Sep-09,7.77,7.77,7.30,7.32,219216
22-Sep-09,7.75,7.80,7.44,7.74,322610
21-Sep-09,7.88,7.99,7.52,7.69,196494
18-Sep-09,8.30,8.30,7.52,7.97,387495
17-Sep-09,8.84,9.00,8.14,8.25,468570
16-Sep-09,7.98,8.85,7.93,8.83,445206
15-Sep-09,7.56,8.01,7.40,7.95,262380
14-Sep-09,7.62,7.74,7.37,7.56,371325
11-Sep-09,7.61,7.85,7.52,7.63,325835
10-Sep-09,7.26,7.70,7.17,7.64,434204
9-Sep-09,7.11,7.32,6.99,7.26,242277
8-Sep-09,7.05,7.29,6.96,7.11,289997
4-Sep-09,6.78,7.15,6.74,7.02,233827
3-Sep-09,6.69,6.98,6.59,6.77,278566
2-Sep-09,6.59,6.91,6.54,6.71,363142
1-Sep-09,6.85,7.13,6.60,6.75,434655
31-Aug-09,7.12,7.22,6.96,6.96,468688
28-Aug-09,7.72,7.93,7.21,7.25,450766
27-Aug-09,7.55,7.64,6.97,7.56,547566
26-Aug-09,7.57,7.79,7.17,7.48,652671
25-Aug-09,7.26,7.80,7.26,7.63,461043
24-Aug-09,7.14,7.49,6.57,7.29,527337
21-Aug-09,7.23,7.51,7.00,7.14,496982
20-Aug-09,6.78,7.34,6.67,7.15,440229
19-Aug-09,6.85,6.95,6.62,6.86,646135
18-Aug-09,6.91,7.12,6.68,6.84,976018
17-Aug-09,6.34,7.00,6.08,6.84,739756
14-Aug-09,6.38,6.80,6.08,6.55,1020305
13-Aug-09,6.12,6.40,6.03,6.38,584130
12-Aug-09,5.80,6.27,5.55,6.03,811499
10-Aug-09,6.32,7.80,5.91,7.76,2493092
7-Aug-09,4.49,5.85,4.49,5.46,540280
6-Aug-09,4.56,4.75,4.41,4.49,391137
5-Aug-09,4.60,4.79,4.51,4.55,353633
4-Aug-09,4.77,4.80,4.42,4.65,786227
3-Aug-09,4.16,4.68,4.10,4.68,869330
31-Jul-09,4.08,4.21,3.89,4.02,569777
30-Jul-09,3.73,4.10,3.70,3.98,606679
29-Jul-09,3.78,3.86,3.67,3.70,366892
28-Jul-09,3.69,4.08,3.58,3.76,471570
27-Jul-09,3.54,4.15,3.51,3.71,1011220
24-Jul-09,2.75,3.46,2.68,3.46,544501
23-Jul-09,2.61,2.82,2.31,2.82,1406573
22-Jul-09,2.44,2.81,2.36,2.57,727637
21-Jul-09,2.44,2.49,2.35,2.46,312922
20-Jul-09,2.55,2.55,2.22,2.43,486492
17-Jul-09,2.45,2.55,2.30,2.55,301575
16-Jul-09,2.51,2.51,2.13,2.44,288260
15-Jul-09,2.42,2.50,2.33,2.47,528126
14-Jul-09,2.22,2.35,2.22,2.32,262270
13-Jul-09,2.04,2.32,2.03,2.27,258240
10-Jul-09,2.05,2.14,1.92,2.03,283104
9-Jul-09,2.10,2.29,2.09,2.11,213417
8-Jul-09,2.07,2.18,2.04,2.09,203169
7-Jul-09,2.13,2.13,1.97,2.05,185967
6-Jul-09,1.93,2.11,1.82,2.10,350627
3-Jul-09,1.88,1.88,1.88,1.88,0
2-Jul-09,2.05,2.10,1.88,1.88,270792
1-Jul-09,2.15,2.29,2.03,2.13,376326
30-Jun-09,2.19,2.35,2.06,2.09,415218
29-Jun-09,2.49,2.49,2.16,2.19,500487
26-Jun-09,2.10,2.65,1.94,2.50,3034558
25-Jun-09,1.80,2.17,1.73,2.17,447161
24-Jun-09,1.74,2.04,1.73,1.78,362987
23-Jun-09,1.97,2.03,1.73,1.73,318142
22-Jun-09,1.87,2.08,1.87,1.99,205603
19-Jun-09,1.99,2.06,1.92,1.94,196206
18-Jun-09,1.91,1.95,1.85,1.94,82603
17-Jun-09,1.94,2.04,1.85,1.95,215855
16-Jun-09,2.02,2.15,1.84,1.89,367460
15-Jun-09,2.11,2.25,2.05,2.10,201590
12-Jun-09,2.15,2.26,2.08,2.09,162897
11-Jun-09,2.18,2.35,2.04,2.23,195742
10-Jun-09,2.25,2.32,2.12,2.23,196207
9-Jun-09,2.34,2.59,2.22,2.29,180571
8-Jun-09,2.35,2.48,2.26,2.37,176507
5-Jun-09,2.10,2.30,2.10,2.24,247692
4-Jun-09,2.09,2.11,1.93,2.09,124668
3-Jun-09,1.95,2.14,1.77,2.04,184362
2-Jun-09,2.23,2.24,1.85,2.00,358196
1-Jun-09,1.95,2.29,1.95,2.22,261642
29-May-09,2.46,2.46,1.95,1.95,433748
28-May-09,2.39,2.50,2.21,2.39,207491
27-May-09,2.08,2.38,1.96,2.32,521848
26-May-09,1.70,2.03,1.69,2.03,183825
25-May-09,1.78,1.78,1.78,1.78,0
22-May-09,1.78,1.80,1.70,1.78,104946
21-May-09,1.78,1.80,1.70,1.77,82289
20-May-09,1.89,1.90,1.80,1.86,59117
19-May-09,1.91,1.91,1.83,1.88,87631
18-May-09,1.68,1.92,1.68,1.87,134225
15-May-09,1.84,1.87,1.68,1.68,298145
14-May-09,1.72,1.89,1.65,1.82,142084
13-May-09,1.78,1.85,1.66,1.66,214132
12-May-09,2.06,2.08,1.89,1.90,250415
11-May-09,1.94,2.11,1.89,1.96,345671
8-May-09,1.69,2.00,1.69,1.90,582095
7-May-09,1.88,1.90,1.69,1.69,433114
6-May-09,1.83,2.00,1.79,1.81,546899
5-May-09,1.89,1.95,1.70,1.75,822430
4-May-09,1.96,2.02,1.85,1.89,406073
1-May-09,2.02,2.12,1.82,2.12,261558
30-Apr-09,2.04,2.08,1.95,1.97,380863
29-Apr-09,1.60,2.08,1.60,2.04,290945
28-Apr-09,1.55,1.63,1.52,1.60,181175
27-Apr-09,1.68,1.78,1.63,1.63,117658
24-Apr-09,1.71,1.88,1.71,1.71,150556
23-Apr-09,1.90,1.90,1.72,1.74,331666
22-Apr-09,1.75,1.90,1.75,1.89,288007
21-Apr-09,1.60,1.83,1.60,1.77,287270
20-Apr-09,1.92,1.92,1.62,1.63,229215
17-Apr-09,1.96,2.04,1.92,1.93,276664
16-Apr-09,2.00,2.00,1.87,1.98,158397
15-Apr-09,1.85,1.92,1.74,1.92,201710
14-Apr-09,1.79,1.97,1.79,1.89,267738
13-Apr-09,2.09,2.09,1.85,1.85,217040
10-Apr-09,2.09,2.09,2.09,2.09,0
9-Apr-09,1.66,2.27,1.65,2.09,848700
8-Apr-09,1.72,1.72,1.50,1.60,722737
7-Apr-09,1.80,1.85,1.77,1.85,311505
6-Apr-09,1.75,1.88,1.69,1.76,376005
3-Apr-09,1.91,1.91,1.71,1.75,299341
2-Apr-09,1.75,1.87,1.73,1.87,356360
1-Apr-09,1.33,1.73,1.33,1.71,335531
31-Mar-09,1.20,1.47,1.20,1.35,712695
30-Mar-09,1.66,1.66,1.18,1.19,495370
27-Mar-09,1.68,1.68,1.57,1.67,282179
26-Mar-09,1.61,1.73,1.56,1.69,313466
25-Mar-09,1.81,1.88,1.59,1.61,561309
24-Mar-09,1.87,1.92,1.73,1.76,212336
23-Mar-09,1.70,1.82,1.64,1.82,491428
20-Mar-09,1.60,1.69,1.34,1.69,859631
19-Mar-09,2.01,2.01,1.42,1.57,1323954
18-Mar-09,1.51,1.93,1.50,1.93,631361
17-Mar-09,1.42,1.50,1.39,1.50,354470
16-Mar-09,1.40,1.43,1.30,1.43,750765
13-Mar-09,1.28,1.36,1.23,1.36,2064234
12-Mar-09,0.85,1.20,0.85,1.20,629181
11-Mar-09,0.85,0.91,0.83,0.83,128770
10-Mar-09,0.70,0.86,0.67,0.85,266088
9-Mar-09,0.75,0.78,0.72,0.72,83222
6-Mar-09,0.87,0.93,0.75,0.79,205639
5-Mar-09,0.90,0.93,0.86,0.86,151131
4-Mar-09,1.01,1.07,0.93,0.93,177128
3-Mar-09,1.06,1.09,0.98,1.03,401011
2-Mar-09,1.13,1.13,0.98,0.99,287395
27-Feb-09,1.11,1.18,1.05,1.14,328759
26-Feb-09,1.17,1.25,1.06,1.10,426437
25-Feb-09,1.19,1.20,1.13,1.18,296227
24-Feb-09,1.32,1.35,1.17,1.18,556568
23-Feb-09,1.41,1.44,1.32,1.33,340390
20-Feb-09,1.44,1.44,1.36,1.40,220788
19-Feb-09,1.40,1.56,1.40,1.41,290068
18-Feb-09,1.59,1.59,1.49,1.50,161283
17-Feb-09,1.55,1.61,1.55,1.57,126865
13-Feb-09,1.64,1.67,1.57,1.57,96867
12-Feb-09,1.52,1.67,1.52,1.67,175943
11-Feb-09,1.70,1.72,1.49,1.59,235798
10-Feb-09,1.71,1.79,1.64,1.71,282833
9-Feb-09,1.63,1.82,1.62,1.74,184522
6-Feb-09,1.55,1.62,1.53,1.62,286281
5-Feb-09,1.56,1.59,1.49,1.49,346085
4-Feb-09,1.78,1.78,1.55,1.57,247024
3-Feb-09,1.57,1.73,1.54,1.72,359112
2-Feb-09,1.53,1.75,1.50,1.56,337433
30-Jan-09,1.77,1.79,1.55,1.61,258486
29-Jan-09,1.75,1.80,1.59,1.77,266663
28-Jan-09,1.76,1.85,1.73,1.80,273726
27-Jan-09,1.95,1.97,1.60,1.80,294532
26-Jan-09,1.73,1.99,1.73,1.98,183803
23-Jan-09,1.77,1.85,1.69,1.74,274749
22-Jan-09,2.01,2.01,1.79,1.79,115374
21-Jan-09,2.03,2.06,1.99,1.99,264415
20-Jan-09,2.00,2.11,1.98,2.01,871971
16-Jan-09,2.00,2.16,1.95,2.01,539055
15-Jan-09,2.00,2.04,1.93,1.99,249866
14-Jan-09,1.99,2.02,1.92,2.00,264123
13-Jan-09,1.87,2.01,1.87,1.98,491179
12-Jan-09,2.09,2.09,1.88,1.89,322419
9-Jan-09,2.16,2.16,2.04,2.04,138551
8-Jan-09,2.16,2.21,2.08,2.13,317721
7-Jan-09,2.24,2.31,2.10,2.17,254672
6-Jan-09,2.15,2.28,2.10,2.28,441445
5-Jan-09,2.26,2.36,2.05,2.10,521091
2-Jan-09,2.24,2.42,2.06,2.34,468910
1-Jan-09,2.21,2.21,2.21,2.21,0
31-Dec-08,2.01,2.21,1.97,2.21,410713
30-Dec-08,1.76,2.03,1.74,2.03,318691
29-Dec-08,2.00,2.04,1.68,1.73,360012
26-Dec-08,1.96,2.03,1.86,1.94,132492
25-Dec-08,1.92,1.92,1.92,1.92,0
24-Dec-08,1.82,2.02,1.82,1.92,86563
23-Dec-08,1.85,1.88,1.80,1.81,267087
22-Dec-08,2.25,2.28,1.86,1.88,429776
19-Dec-08,1.69,2.32,1.68,2.27,1581041
18-Dec-08,1.77,1.96,1.65,1.65,322655
17-Dec-08,1.74,1.87,1.74,1.78,490663
16-Dec-08,1.75,1.93,1.67,1.74,434269
15-Dec-08,1.84,1.92,1.67,1.68,816100
12-Dec-08,1.99,2.02,1.84,1.84,512195
11-Dec-08,2.14,2.25,2.08,2.12,437626
10-Dec-08,2.37,2.42,2.08,2.09,442881
9-Dec-08,2.32,2.48,2.32,2.37,616319
8-Dec-08,2.33,2.38,2.25,2.32,431370
5-Dec-08,2.27,2.40,2.19,2.20,408501
4-Dec-08,2.30,2.39,2.22,2.32,608180
3-Dec-08,2.22,2.49,2.18,2.33,559518
