GCI,MNI,NYT,SSP
21.88,16.4,13.75,0
21.44,18.1,13.19,0
20.25,17.4,13.19,0
20,16.5,12.62,0
19.94,15.2,12.31,0
20,15.9,12.06,0
19.81,15.7,11.38,0
19.81,17.7,11.44,0
20.19,20.8,11.94,0
20,18.8,11.88,0
20.38,18.9,12,0
19.88,19.2,12.12,0
20,18.6,11.81,0
19.94,17.8,11.81,0
19.56,17.9,11.75,0
18.44,16.5,10.81,0
18.56,15.6,10.56,0
18.38,14.6,10.94,0
18.31,14.6,11.25,0
18.88,14.2,11.19,0
19.81,15.2,12,0
20.88,15.7,12,0
20.25,15.2,12.06,0
20.38,16.8,12,0
20,15.6,12.31,0
19.12,15.3,12.06,0
18.62,15.1,12.44,0
18.12,15.5,12.06,0
17.75,14.8,11.38,0
17.69,14.4,10.69,0
16.62,13.1,10.12,0
16.31,13.2,9.69,0
16.25,12.7,9.5,0
16.25,12.2,9.31,0
17,12,9.56,0
17.31,11.7,9.5,0
16.81,11.8,9.31,0
15.25,11,8.81,0
16.62,12.3,8.81,0
16.25,12.5,9.25,0
15.75,12,9.56,0
16.19,12.1,9.31,0
15.62,12.1,8.94,0
16.25,11.8,8.75,0
16.75,11.6,9.06,0
16.5,11.7,9.06,0
17.12,11.9,9,0
17.75,13.6,9.62,0
18.88,13.7,9.94,0
18.19,13.5,10.31,0
18.19,14,10.12,0
18.31,13.7,11.19,0
18.5,14.4,10.12,0
19.31,14.8,10.88,0
19.88,15.6,11.19,0
20.44,16.8,11.12,0
20.94,16,12.12,0
19.81,15.6,11.69,0
19.81,15.1,11,0
20.38,14.6,11.25,0
19.69,15.9,11.31,0
20.19,16,11.31,0
21.25,16.2,11.06,0
20,17.2,11.12,0
19.94,17.1,10.75,0
20.94,17.3,10.56,0
22,17.1,10.81,0
21.25,16.4,11.12,0
21.62,17.1,11.44,0
21.5,17.3,11,0
20.94,17.2,11.56,0
21.12,18.3,11.31,0
21.81,17.3,12.12,0
21.06,17,12.19,0
20.62,17.3,12.19,0
21.38,17.1,12.06,0
21.5,17.8,12.19,0
22.31,17.5,12.12,0
22.25,17.5,11.88,0
21.81,17,11,0
22.62,17.6,11.12,0
22.88,17.4,11.06,0
22.88,17.3,11.25,0
22.44,16.9,11.25,0
23.12,16.3,11.31,0
21.38,15.1,10.94,0
19.94,15.6,10.94,0
20.5,15.5,11.19,0
19.75,15.8,11.06,0
19.19,15.2,10.75,0
19.31,14.6,10.06,0
20,15.5,10.06,0
20.62,14.6,9.69,0
19.81,13.5,9.69,0
20.38,13.9,10.06,0
19.75,13.4,9.75,0
18.31,12.9,9.38,0
18.94,12.6,9.56,0
18.81,12.2,9.81,0
19.31,12.7,10.06,0
20.25,12.6,10.38,0
22.75,13.7,11.81,0
21.5,13.8,12.19,0
22.94,14,12.75,0
22.81,14.1,13.62,0
22.12,14.1,13.56,0
22.94,15.6,14.06,0
23.31,17,14.06,0
23.94,16.3,14.31,0
22.69,16.3,13.94,0
23.56,16.6,14.56,0
22.25,17.2,14.5,0
23.25,17.4,15.44,0
22.75,17.3,15.38,0
21.81,16.4,15.19,0
21.44,15.4,14.19,0
22.5,16.3,15.75,0
24.25,16.2,15.38,0
23.75,16.9,15.69,0
24.12,16.6,14.69,0
23.44,16.6,14.12,0
23.75,16.4,14.69,0
23.5,17,15.75,0
23.5,18,15.69,0
22.25,17,15.06,0
21.94,16.5,14.12,0
22.44,18.2,14.06,0
22.44,16.8,14.38,0
22.06,16.6,13.94,0
23.25,16,14,0
23.5,15.4,14.06,0
23.81,16.2,14.25,0
23.25,15.5,14.56,0
23,16.2,14.62,0
22.44,15.8,13.5,0
23.75,16.2,13.12,0
22.88,16.2,12.94,0
23.31,16.7,13.62,0
23.38,16.1,13.94,0
23.94,16.8,13.81,0
23.12,16.2,12.69,0
24,16,12.44,0
24.81,16.2,12.69,0
25.56,15.3,12.62,0
25.56,15.1,14,0
25.44,15.3,13.94,0
25.31,15.7,13.75,0
26.44,15.7,13.94,0
25.44,15.8,13.75,0
25.06,15.5,13.06,0
25,15.4,13,0
25.81,15.4,12.94,0
25.94,15.1,13.44,0
26.12,15.2,13.69,0
27,15.2,13.56,0
27.44,15.2,13.62,0
27.19,16.2,14.5,0
27.19,17.7,14.44,0
25.75,17.4,14.31,0
25.25,17.6,14.38,0
24.94,17.4,14.44,0
26.06,17.6,15.06,0
26.31,18,15,0
25.56,17.3,15.5,0
25.75,17.3,15.38,0
26.69,17.7,15.5,0
26.69,18,15.31,0
25.81,18.1,14.88,0
25.94,18.1,14.5,0
26.31,18.2,14.31,0
25.94,18,14.44,0
25.38,17.9,14.12,0
26.56,17.8,14.5,0
25.5,17.6,14.38,0
24.5,17.3,13.44,0
24.44,17.5,11.94,0
24.38,17,12,0
24.75,16.4,12.12,0
25.19,16.4,12.25,0
25.06,15.1,12.19,0
24.5,14.9,12.56,0
24.5,14.5,12.69,0
25.06,15.7,12.81,0
25.31,15,12.81,0
24.94,15.3,12.69,0
25.56,15.7,12,0
25.62,15.9,11.88,0
24.69,15.8,11.62,0
24.25,16.3,12,0
24.19,15.8,12.5,0
23.75,16.6,12.62,0
23.94,16.5,12.75,0
25.81,17.1,12.69,0
25.5,16.8,12.31,0
26,18.2,11.94,0
25.75,18.2,11.69,0
25.75,17.4,12.44,0
27.06,18.3,12.31,0
27.81,19.4,12.44,0
28.38,19.1,14,0
27.75,19.2,13.31,0
27.94,18.9,13.06,0
28.88,19,13.62,0
28.5,18.6,13.75,0
28.75,18.1,14.75,0
28.94,18.2,14.12,0
28.88,18.9,13.81,0
28.12,19.1,14.12,0
27.12,18.4,13.31,0
27.19,18.4,13.5,0
26.81,17.7,13.56,0
27.12,17.9,13.69,0
26.69,17.5,13.75,0
27.12,17.8,13.88,0
28,18.7,13.81,0
26.31,17.9,13.69,0
26.25,18.1,13.25,0
26.62,18,13.38,0
26.25,18.2,12.94,0
26.31,18.4,12.69,0
25.81,18.8,12.62,0
26,18.8,12.62,0
25.56,18.4,12.69,0
26.44,19.6,12.75,0
25.75,19.9,12.69,0
26.38,21.6,12.31,0
25.62,21.3,12.19,0
25,21.4,11.56,0
24.38,20.7,12.06,0
24.44,21.1,11.88,0
25.31,21.3,12.12,0
25.12,20.8,11.75,0
25.69,20.7,12.25,0
24.81,20.6,12.12,0
25.75,19.2,12.06,0
25,19,12.19,0
25,18.4,12.25,0
25.12,18.7,12.25,0
24.75,19,11.81,0
24.25,18.1,11.69,0
23.75,18.3,10.94,0
23.44,18.3,10.88,0
24.5,18.1,11.12,0
24.5,17.8,11,0
24,17.4,11.19,0
23.81,17.2,11.69,0
23.88,16.8,11.88,0
24.5,17.3,12.06,0
23.62,17.2,11.75,0
23.62,17,11.81,0
23.75,17.3,11.12,0
